prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback.stopped,new_ui.started,text_2.started,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,text_4.stopped,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,feedback_practice_1.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,prog.stopped,greenbar.stopped,yellowbar.stopped,redbar.stopped,arrow.stopped,textbox.stopped,slider.stopped,key_resp.stopped,perf_feedback.started,text_5.started,key_resp_6.started,text_5.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,0,0,0,,,,,,med2,5,None,None,8,0.416699417000018,None,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,38.95239312499962,,,,,,,,,,,,,,,,,,,,,,38.94623729199975,38.95239312499962,39.44394262500009,,,,,,,,,,,39.89571866700044,39.907448416999614,40.8966615420004,,,,,,,39.448077750000266,39.46563249999963,39.46563249999963,39.46563249999963,39.89545241700034,Incorrect!,None,None,8,0.416699417000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,1,0,1,,,,,,med2,5,None,None,5,0.22875920799924643,None,,,,,,,,,,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,40.90871762500046,,,,,,,,,,,,,,,,,,,,,,40.89687037499971,40.90871762500046,41.4051138750001,,,,,,,,,,,41.66976820800028,41.681369916999756,42.67057704200033,,,,,,,41.409454124999684,41.428571833000206,41.428571833000206,41.428571833000206,41.66952074999972,Incorrect!,None,None,5,0.22875920799924643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,2,0,2,,,,,,med2,5,None,None,8,0.21632495799985918,None,,,,,,,,,,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,42.682043417000386,,,,,,,,,,,,,,,,,,,,,,42.67077254200012,42.682043417000386,43.178517291999924,,,,,,,,,,,43.41664737500014,43.42863629200019,44.417871874999946,,,,,,,43.18073291699966,43.19701762499972,43.19701762499972,43.19701762499972,43.41639133300032,Incorrect!,None,None,8,0.21632495799985918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,3,0,3,,,,,,med2,5,None,None,None,,,,,,,,,,,,,,,,,,,,0,3,3,3,3,0,3,0,,,,,,,,,44.42974283300009,,,,,,,,,,,,,,,,,,,,,,44.4180994999997,44.42974283300009,44.92594241700044,,,,,,,,,,,44.945396416999756,44.94881616699968,45.938600499999666,,,,,,,44.94427558300049,44.94881616699968,44.94881616699968,44.94881616699968,44.945020832999944,Next Block,None,None,None,,,,,,,,,,,45.94991312500042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,3,3,0,,,,,,med2,5,,,,,,space,1.1673977909995301,None,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.940142166999976,45.94991312500042,45.94991312500042,46.95011774999966,47.12807020800028,space,1.1673977909995301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,0,0,0,,,,,,med1,5,None,None,8,0.353335750000042,None,,,,,,,,,,,,,,,,,,0,4,4,2,0,0,0,0,,,,,,,,,47.13853279199975,,,,,,,,,,,,,,,,,,,,,,47.13411945799999,47.13853279199975,47.63398599999982,,,,,,,,,,,48.01848704199983,48.03031325000029,49.0196048329999,,,,,,,47.6364987500001,47.65597691699986,47.65597691699986,47.65597691699986,48.01823624999997,Incorrect!,None,None,8,0.353335750000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,1,0,1,,,,,,med1,5,None,None,8,1.4704329169999255,None,,,,,,,,,,,,,,,,,,0,4,4,2,1,0,1,0,,,,,,,,,49.03102129200033,,,,,,,,,,,,,,,,,,,,,,49.01981254200018,49.03102129200033,49.52789041699998,,,,,,,,,,,51.019717666999895,51.031409207999786,52.02071437500035,,,,,,,49.52963729200019,49.54489770800046,49.54489770800046,49.54489770800046,51.01946433299963,Incorrect!,None,None,8,1.4704329169999255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,2,0,2,,,,,,med1,5,None,None,None,,,,,,,,,,,,,,,,,,,,0,4,4,2,2,0,2,0,,,,,,,,,52.03276433300016,,,,,,,,,,,,,,,,,,,,,,52.02091754200046,52.03276433300016,52.52919495799961,,,,,,,,,,,52.64674683300018,52.658728667000105,53.64791950000017,,,,,,,52.53183445800005,52.551374042000134,52.551374042000134,52.551374042000134,52.646479,Next Block,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,4,4,0,,,,,,med1,5,,,,,,space,0.6629263330005415,None,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.649503583000296,53.659368958000414,53.659368958000414,,54.33139908300018,space,0.6629263330005415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,0,0,0,,,,,,,,,,,,,,,,hard,5,7.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,0,54.34446200000002,,,,,,,,,,,,,,,,,,,,,,54.3397867499998,54.34446200000002,54.835748749999766,,,,,,,,,,,55.38564908300032,55.39298824999969,56.38223554199976,,,,,,,,,,,,,,,,,,,,,,,,,,,54.840116667000075,54.87136499999997,54.87136499999997,54.87136499999997,54.87136499999997,54.87136499999997,54.87136499999997,54.87136499999997,54.87136499999997,55.38076699999965,0,1,1,0,0,None,None,None,,,,,,,,,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,1,0,1,,,,,,,,,,,,,,,,hard,5,7.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,4,1,0,1,0,56.39379279199966,,,,,,,,,,,,,,,,,,,,,,56.382457833000444,56.39379279199966,56.89031483300005,,,,,,,,,,,57.435149750000164,57.447073416999956,58.436394250000376,,,,,,,,,,,,,,,,,,,,,,,,,,,56.89332383300007,56.90950962500028,56.90950962500028,56.90950962500028,56.90950962500028,56.90950962500028,56.90950962500028,56.90950962500028,56.90950962500028,57.434910832999776,0,1,1,0,0,None,None,None,57.447073416999956,57.447073416999956,57.447073416999956,57.447073416999956,57.447073416999956,57.447073416999956,57.447073416999956,57.447073416999956,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
,2,0,2,,,,,,,,,,,,,,,,hard,5,7.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,4,2,0,2,0,58.448501750000105,,,,,,,,,,,,,,,,,,,,,,58.43661512499966,58.448501750000105,58.9447192079997,,,,,,,,,,,59.48925354200037,59.501228832999914,60.490481583000474,,,,,,,,,,,,,,,,,,,,,,,,,,,58.94888537499992,58.96570083300048,58.96570083300048,58.96570083300048,58.96570083300048,58.96570083300048,58.96570083300048,58.96570083300048,58.96570083300048,59.48900933300047,0,1,1,0,0,None,None,None,59.501228832999914,59.501228832999914,59.501228832999914,59.501228832999914,59.501228832999914,59.501228832999914,59.501228832999914,59.501228832999914,,,,,pilot,001,2026-01-31_18h51.36.754,misty_module,,2025.2.4,75.0758500699146,2026-01-31 18h51.37.301064 +0000,
