train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
hard,5,6,0,6,None,None,4,1.009824832999584,None,,,,,,,,,0,0,0,4,6,0,6,0,30.09732675000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.086289459,30.09732675000032,30.59464691700032,30.605374584000856,30.622024459000386,30.622024459000386,30.622024459000386,31.645539167000607,Correct!,None,None,4,1.009824832999584,None,31.64842837500055,31.65761116700014,32.646538584000155,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,7,0,7,None,None,6,1.4330707500002973,None,,,,,,,,,0,0,0,4,7,0,7,0,32.65850975000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.64671195900064,32.65850975000012,33.154769834000035,33.165543750000325,33.17578508400038,33.17578508400038,33.17578508400038,34.620089667000684,Incorrect!,None,None,6,1.4330707500002973,None,34.620365583999956,34.63202370900035,35.623384209000506,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,8,0,8,None,None,9,1.2245750830006727,None,,,,,,,,,0,0,0,4,8,0,8,0,35.63301158400009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.62365800000043,35.63301158400009,36.12925254200036,36.134554459000356,36.1502746670003,36.1502746670003,36.1502746670003,37.38096791700082,Incorrect!,None,None,9,1.2245750830006727,None,37.381246834000194,37.39305825000065,38.38220512500084,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,9,0,9,None,None,4,1.534737082999527,None,,,,,,,,,0,0,0,4,9,0,9,0,38.39366508400053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.382401000000755,38.39366508400053,38.89055774999997,38.904533542000536,38.91609475000041,38.91609475000041,38.91609475000041,40.462232333999964,Incorrect!,None,None,4,1.534737082999527,None,40.46251412500078,40.47415645900037,41.46363929200015,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,10,0,10,None,None,None,,,,,,,,,,,0,0,0,4,10,0,10,0,41.475700834000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.46383633400001,41.475700834000236,41.97140175000004,41.980937959000585,41.994299792000675,41.994299792000675,41.994299792000675,46.9840560420007,Incorrect!,None,None,None,,,46.98431441700086,46.996419334000166,47.984789209000155,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,0,0,0,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,0,0,0,None,None,5,2.188413374999982,None,,,,,,,,,0,1,1,0,0,0,0,0,47.996811084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.989283792000606,47.996811084,48.493752625000525,48.49571837500025,48.5124144170004,48.5124144170004,48.5124144170004,50.70589058400037,Incorrect!,None,None,5,2.188413374999982,None,50.70617608400062,50.71789937500034,51.70712545900005,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,1,0,1,None,None,7,0.8833468339998944,None,,,,,,,,,0,1,1,0,1,0,1,0,51.71930508400055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.70732750000025,51.71930508400055,52.21523716700085,52.217196709000746,52.23246179200032,52.23246179200032,52.23246179200032,53.119926292000855,Incorrect!,None,None,7,0.8833468339998944,None,53.120182375000695,53.13210762500057,54.121316708999984,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,2,0,2,None,None,4,0.8441216249993886,None,,,,,,,,,0,1,1,0,2,0,2,0,54.13368404200082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1215030000003,54.13368404200082,54.629688375000114,54.631723334000526,54.648640709000574,54.648640709000574,54.648640709000574,55.49419016700085,Incorrect!,None,None,4,0.8441216249993886,None,55.49447116700048,55.50631012500071,56.49426591700012,56.506613042000026,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,3,0,3,None,None,8,2.084216749999541,None,,,,,,,,,0,1,1,0,3,0,3,0,56.506613042000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.49437737500011,56.506613042000026,57.003840542000034,57.00601391700002,57.02554379200046,57.02554379200046,57.02554379200046,59.12236100000064,Incorrect!,None,None,8,2.084216749999541,None,59.12265325000044,59.13427287500053,60.12377695900068,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,4,0,4,None,None,5,1.0611573329997555,None,,,,,,,,,0,1,1,0,4,0,4,0,60.13623912500043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.12399650000043,60.13623912500043,60.63160204200085,60.63369520900051,60.649610917000246,60.649610917000246,60.649610917000246,61.723247208999965,Incorrect!,None,None,5,1.0611573329997555,None,61.72353150000072,61.73521295900082,62.724080667000635,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,5,0,5,None,None,6,1.0535174579999875,None,,,,,,,,,0,1,1,0,5,0,5,0,62.73589087500022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.72425766700053,62.73589087500022,63.230620709000505,63.23193045900007,63.244238417000815,63.244238417000815,63.244238417000815,64.31085133400029,Incorrect!,None,None,6,1.0535174579999875,None,64.31113041700064,64.32281333400078,65.31322883400026,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,6,0,6,None,None,8,0.6635236660004011,None,,,,,,,,,0,1,1,0,6,0,6,0,65.32385200000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.31342845900053,65.32385200000044,65.81986491700081,65.82187083400004,65.83820862500033,65.83820862500033,65.83820862500033,66.5116587500006,Correct!,None,None,8,0.6635236660004011,None,66.51192495900068,66.523605417,67.51307237500077,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,7,0,7,None,None,None,,,,,,,,,,,0,1,1,0,7,0,7,0,67.52427008400082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.51328404200012,67.52427008400082,68.02165962500021,68.0238763340003,68.04375925000022,68.04375925000022,68.04375925000022,73.0336401250006,Incorrect!,None,None,None,,,73.03391387500051,73.04609054200046,74.03546862500025,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy1,5,1,1,0,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,,,0,2,2,3,0,0,0,0,74.04600083400055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.04226749999998,74.04600083400055,74.54354366700045,74.55159316700065,74.56665716700081,74.56665716700081,74.56665716700081,79.5560492500008,Incorrect!,None,None,None,,,79.55632408400015,79.5683604170008,80.55686695900022,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
med2,5,2,2,0,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
easy2,5,0,0,0,,,,,,,,,,,,,,0,3,3,1,0,0,0,0,80.56891366700074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56159916700017,80.56891366700074,81.06377599999996,81.06534791700051,81.07799366700056,81.07799366700056,81.07799366700056,,,,,,,,,,,,,,,,,,,,
