6.8705 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.8719 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.8725 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.8732 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.8745 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.8755 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.8762 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.8765 	DEBUG 	Uploading Texture Font fontname to graphics card
6.8818 	DEBUG 	Upload of Texture Font fontname complete
6.9652 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9656 	DEBUG 	Uploading Texture Font fontname to graphics card
6.9673 	DEBUG 	Upload of Texture Font fontname complete
6.9766 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9779 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9792 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9804 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9814 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9824 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9835 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9844 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9854 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9864 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9867 	DEBUG 	Uploading Texture Font fontname to graphics card
6.9880 	DEBUG 	Upload of Texture Font fontname complete
6.9948 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.9951 	DEBUG 	Uploading Texture Font fontname to graphics card
6.9999 	DEBUG 	Upload of Texture Font fontname complete
7.0128 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0130 	DEBUG 	Uploading Texture Font fontname to graphics card
7.0141 	DEBUG 	Upload of Texture Font fontname complete
7.0268 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0270 	DEBUG 	Uploading Texture Font fontname to graphics card
7.0281 	DEBUG 	Upload of Texture Font fontname complete
7.0407 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0410 	DEBUG 	Uploading Texture Font fontname to graphics card
7.0420 	DEBUG 	Upload of Texture Font fontname complete
7.0548 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0551 	DEBUG 	Uploading Texture Font fontname to graphics card
7.0561 	DEBUG 	Upload of Texture Font fontname complete
7.0687 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0689 	DEBUG 	Uploading Texture Font fontname to graphics card
7.0700 	DEBUG 	Upload of Texture Font fontname complete
7.0827 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0829 	DEBUG 	Uploading Texture Font fontname to graphics card
7.0840 	DEBUG 	Upload of Texture Font fontname complete
7.0983 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.0986 	DEBUG 	Uploading Texture Font fontname to graphics card
7.0997 	DEBUG 	Upload of Texture Font fontname complete
7.1124 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.1127 	DEBUG 	Uploading Texture Font fontname to graphics card
7.1138 	DEBUG 	Upload of Texture Font fontname complete
